rank,superfamily_scientific,family_scientific,family_common,subfamily_scientific,genus_scientific,species_scientific,species_common
superfamily,micropterigoidea,,,,,,
family,micropterigoidea,micropterigidae,potočníkovcovité,,,,
genus,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,,
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix aruncella,potočníkovec machový
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix aureatella,potočníkovec hôrny
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix aureoviridella,potočníkovec zlatozelený
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix calthella,potočníkovec záružľový
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix mansuetella,potočníkovec jemný
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix myrtetella,potočníkovec malý
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix osthelderi,potočníkovec Osthelderov
species,micropterigoidea,micropterigidae,potočníkovcovité,,micropterix,micropterix tunbergella,potočníkovec Thunbergov
superfamily,eriocranioidea,,,,,,
family,eriocranioidea,eriocraniidae,prvomoľovité,,,,
genus,eriocranioidea,eriocraniidae,prvomoľovité,,dyseriocrania,,
species,eriocranioidea,eriocraniidae,prvomoľovité,,dyseriocrania,dyseriocrania subpurpurella,prvomoľa dubová
genus,eriocranioidea,eriocraniidae,prvomoľovité,,heringocrania,,
species,eriocranioidea,eriocraniidae,prvomoľovité,,heringocrania,heringocrania unimaculella,prvomoľa bieloškvrnná
genus,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,,
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania sparrmannella,prvomoľa Sparrmannova
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania cicatricella,prvomoľa brezová
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania sangii,prvomoľa Sangova
species,eriocranioidea,eriocraniidae,prvomoľovité,,eriocrania,eriocrania semipurpurella,prvomoľa purpurová
superfamily,hepialoidea,,,,,,
family,hepialoidea,hepialidae,hrotokrídlovcovité,,,,
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,triodia,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,triodia,triodia sylvina,hrotokrídlovec šalátový
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,korscheltellus,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,korscheltellus,korscheltellus fusconebulosa,hrotokrídlovec orličníkový
species,hepialoidea,hepialidae,hrotokrídlovcovité,,korscheltellus,korscheltellus lupulina,hrotokrídlovec záhradný
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,pharmacis,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,pharmacis,pharmacis carna,hrotokrídlovec horský
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,phymatopus,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,phymatopus,phymatopus hecta,hrotokrídlovec prvosienkový
genus,hepialoidea,hepialidae,hrotokrídlovcovité,,hepialus,,
species,hepialoidea,hepialidae,hrotokrídlovcovité,,hepialus,hepialus humuli,hrotokrídlovec chmeľový
superfamily,nepticuloidea,,,,,,
family,nepticuloidea,nepticulidae,drobníkovité,,,,
subfamily,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,,,
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,enteucha,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,enteucha,enteucha acetosae,drobník štiavový
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,simplimorpha,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,simplimorpha,simplimorpha promissa,drobník škumpový
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella freyella,drobník Freyov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella prunetorum,drobník slivkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella aceris,drobník tatársky
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella ulmivora,drobník striebropásavý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella ulmiphaga,drobník väzový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella viscerella,drobník listový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella naturnella,drobník brezinkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella tiliae,drobník lipový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella alnetella,drobník miazgový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella betulicola,drobník brezový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella glutinosae,drobník jelšový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella luteella,drobník žltopásavý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella microtheriella,drobník lieskový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella nivenburgensis,drobník vrbovinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella sakhalinella,drobník mokrinný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella catharticella,drobník rešetliakový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella rhamnella,krovinový krovinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella rolandi,drobník Rolandov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella sanguisorbae,drobník krvavcový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella thuringiaca,drobník durínsky
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella confusella,drobník zlievaný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella lapponica,drobník laponský
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella malella,drobník jabloňový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella arbusculae,drobník kríkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella assimilella,drobník topoľový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella benanderella,drobník Benanderov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella myrtillella,drobník čučoriedkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella obliquella,drobník vrbinný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella pallidiciliella,drobník bledý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella salicis,drobník vŕbový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella trimaculella,drobník trojbodý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella vimineticola,drobník košikársky
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella anomalella,drobník šípkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella centifoliella,drobník záhradný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella hybnerella,drobník Hübnerov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella mespilicola,drobník mišpuľový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella inopinata,drobník krasový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella paradoxa,drobník hrdzavohlavý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella incognitella,drobník jablčný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella perpygmaeella,drobník rakytníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella crataegella,drobník fialový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella desperatella,drobník ovocný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella hahniella,drobník Hahnov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella magdalenae,drobník Magdalenin
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella minusculella,drobník lesklý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella nylandriella,drobník Nylanderov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella oxyacanthella,drobník hlohový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella pyri,drobník hruškový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella regiella,drobník kráľovský
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella stettinensis,drobník štetínsky
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella speciosa,drobník klenový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella lonicerarum,drobník zemolezový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella aeneofasciella,drobník nádherný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella aurella,drobník jahodníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella tatrica,drobník tatranský
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella dryadella,drobník dryádkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella filipendulae,drobník túžobníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella lediella,drobník rojovníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella poterii,drobník krvavníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella pretiosa,drobník ostružinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella splendidissimella,drobník malinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella tormentillella,drobník nátržníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella plagicolella,drobník trnkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella sorbi,drobník jarabinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella lemniscella,drobník brestový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella carpinella,drobník hrabový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella floslactella,drobník hrabinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella tityrella,drobník bučinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella hemargyrella,drobník bukový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella atricapitella,drobník čiernohlavý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella basiguttella,drobník koreňoškvrnný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella dorsiguttella,drobník škvrnkatý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella eberhardi,drobník Eberhardov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella roborella,drobník dubový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella ruficapitella,drobník červenohlavý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella samiatella,drobník gaštanový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella svenssoni,drobník Svenssonov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella szoecsiella,drobník Szőcsov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,stigmella,stigmella zangherii,drobník Zangherov
subfamily,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,,,
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,bohemannia,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,bohemannia,bohemannia pulverosella,drobník pomúčený
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,bohemannia,bohemannia quadrimaculella,drobník štvorškvrnný
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,glaucolepis,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,glaucolepis,glaucolepis melanoptera,drobník tmavokrídly
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,glaucolepis,glaucolepis bleonella,drobník ľanový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,glaucolepis,glaucolepis headleyella,drobník Headleyov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,glaucolepis,glaucolepis lituanica,drobník litovský
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,glaucolepis,glaucolepis magna,drobník veľký
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,glaucolepis,glaucolepis thymi,drobník dúškový
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula cryptella,drobník ranostajový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula eurema,drobník ľadencový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula ortneri,drobník Ortnerov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula josefklimeschi,drobník ďatelinovcový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula silviae,drobník vičencový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula subnitidella,drobník kroviskový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula austriaca,drobník rakúsky
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula beirnei,drobník Beirneho
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula chamaecytisi,drobník zanoväťový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula corothamni,drobník kručinkovcový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula immundella,drobník prútnatcový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula orientella,drobník orientálny
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,trifurcula,trifurcula pallidella,drobník kručinkový
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,fomoria,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,fomoria,fomoria septembrella,drobník ľubovníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,fomoria,fomoria weaveri,drobník Weaverov
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,parafomoria,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,parafomoria,parafomoria helianthemella,drobník devätorníkový
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,acalyptris,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,acalyptris,acalyptris loranthella,drobník imelovcový
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,etainia,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,etainia,etainia sericopeza,drobník javorový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,etainia,etainia louisella,drobník Louisov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,etainia,etainia decentella,drobník žltočierny
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,zimmermannia,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,zimmermannia,zimmermannia atrifrontella,drobník čiernočelový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,zimmermannia,zimmermannia liebwerdella,drobník liebwerdský
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,zimmermannia,zimmermannia longicaudella,drobník dubinový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,zimmermannia,zimmermannia amani,drobník Amanov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,zimmermannia,zimmermannia reichli,drobník Reichlov
genus,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,,
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia intimella,drobník rakytový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia hannoverella,drobník hannoverský
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia turbidella,drobník lindový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia klimeschi,drobník Klimeschov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia argyropeza,drobník osikový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia preisseckeri,drobník Preisseckerov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia gilvipennella,drobník južný
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia rufifrontella,drobník červenočelový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia albifasciella,drobník bielopásy
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia contorta,drobník dúbravový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia cerris,drobník cerový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia subbimaculella,drobník žltobodý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia heringi,drobník Heringov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia liechtensteini,drobník Liechtensteinov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia caradjai,drobník Caradjov
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia spiraeae,drobník tavoľníkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia agrimoniae,drobník repčíkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia minimella,drobník najmenší
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia occultella,drobník zlatopásavý
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia angulifasciella,drobník ružový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia arcuatella,drobník repíkový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia atricollis,drobník čiernošijový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia rubivora,drobník černicový
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia spinosella,drobník čierny
species,nepticuloidea,nepticulidae,drobníkovité,nepticulinae,ectoedemia,ectoedemia mahalebella,drobník mahalebkový
family,nepticuloidea,opostegidae,štetinkavcovité,,,,
subfamily,nepticuloidea,opostegidae,štetinkavcovité,osteginae,,,
genus,nepticuloidea,opostegidae,štetinkavcovité,osteginae,opostega,,
species,nepticuloidea,opostegidae,štetinkavcovité,osteginae,opostega,opostega salaciella,štetinkavec rebríčkový
species,nepticuloidea,opostegidae,štetinkavcovité,osteginae,opostega,opostega spatulella,štetinkavec bahniskový
genus,nepticuloidea,opostegidae,štetinkavcovité,osteginae,pseudopostega,,
species,nepticuloidea,opostegidae,štetinkavcovité,osteginae,pseudopostega,pseudopostega auritella,štetinkavec záružľový
species,nepticuloidea,opostegidae,štetinkavcovité,osteginae,pseudopostega,pseudopostega crepusculella,štetinkavec mätový
superfamily,adeloidea,,,,,,
family,adeloidea,heliozelidae,bronzovníčkovité,,,,
genus,adeloidea,heliozelidae,bronzovníčkovité,,heliozela,,
species,adeloidea,heliozelidae,bronzovníčkovité,,heliozela,heliozela resplendella,bronzovníček jelšový
species,adeloidea,heliozelidae,bronzovníčkovité,,heliozela,heliozela sericiella,bronzovníček dubový
genus,adeloidea,heliozelidae,bronzovníčkovité,,antispila,,
species,adeloidea,heliozelidae,bronzovníčkovité,,antispila,antispila metallella,bronzovníček svíbový
species,adeloidea,heliozelidae,bronzovníčkovité,,antispila,antispila treitschkiella,bronzovníček Treitschkeho
species,adeloidea,heliozelidae,bronzovníčkovité,,antispila,antispila petryi,bronzovníček Petryho
genus,adeloidea,heliozelidae,bronzovníčkovité,,coptodisca,,
species,adeloidea,heliozelidae,bronzovníčkovité,,coptodisca,coptodisca lucifluella,bronzovníček svetlomilný
species,adeloidea,heliozelidae,bronzovníčkovité,,coptodisca,coptodisca juglandiella,bronzovníček orechový
family,adeloidea,adelidae,adélovité,,,,
subfamily,adeloidea,adelidae,adélovité,adelinae,,,
genus,adeloidea,adelidae,adélovité,adelinae,nemophora,,
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora degeerella,adéla De Geerova
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora scopolii,adéla Scopoliho
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora congruella,adéla tatranská
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora ochsenheimerella,adéla Ochsenheimerova
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora basella,adéla tavoľníková
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora raddaella,adéla čertkusová
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora metallica,adéla chrastavcová
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora pfeifferella,adéla Pfeifferova
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora cupriacella,adéla rozchodníková
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora violellus,adéla horcová
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora prodigellus,adéla betoniková
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora fasciella,adéla marulková
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora minimella,adéla hlaváčová
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora dumerilella,adéla Dumerilova
species,adeloidea,adelidae,adélovité,adelinae,nemophora,nemophora associatella,adéla smreková
genus,adeloidea,adelidae,adélovité,adelinae,adela,,
species,adeloidea,adelidae,adélovité,adelinae,adela,adela violella,adéla fialová
species,adeloidea,adelidae,adélovité,adelinae,adela,adela mazzolella,adéla Mazzolova
species,adeloidea,adelidae,adélovité,adelinae,adela,adela albicinctella,adéla bielopása
species,adeloidea,adelidae,adélovité,adelinae,adela,adela reaumurella,adéla zelená
species,adeloidea,adelidae,adélovité,adelinae,adela,adela cuprella,adéla medená
species,adeloidea,adelidae,adélovité,adelinae,adela,adela croesella,adéla ozdobná
genus,adeloidea,adelidae,adélovité,adelinae,cauchas,,
species,adeloidea,adelidae,adélovité,adelinae,cauchas,cauchas rufifrontella,adéla valeriánková
species,adeloidea,adelidae,adélovité,adelinae,cauchas,cauchas fibulella,adéla veroniková
species,adeloidea,adelidae,adélovité,adelinae,cauchas,cauchas leucocerella,adéla dvojfarebná
species,adeloidea,adelidae,adélovité,adelinae,cauchas,cauchas rufimitrella,adéla červenohlavá
subfamily,adeloidea,adelidae,adélovité,nematopogoninae,,,
genus,adeloidea,adelidae,adélovité,nematopogoninae,nematopogon,,
species,adeloidea,adelidae,adélovité,nematopogoninae,nematopogon,nematopogon pilella,adéla lesná
species,adeloidea,adelidae,adélovité,nematopogoninae,nematopogon,nematopogon schwarziellus,adéla Schwarzova
species,adeloidea,adelidae,adélovité,nematopogoninae,nematopogon,nematopogon adansoniella,adéla Adansonova
species,adeloidea,adelidae,adélovité,nematopogoninae,nematopogon,nematopogon metaxella,adéla hrabanková
species,adeloidea,adelidae,adélovité,nematopogoninae,nematopogon,nematopogon swammerdamella,adéla Swammerdamova
species,adeloidea,adelidae,adélovité,nematopogoninae,nematopogon,nematopogon robertella,adéla Robertova
family,adeloidea,incurvariidae,blyštekovité,,,,
subfamily,adeloidea,incurvariidae,blyštekovité,incurvariinae,,,
genus,adeloidea,incurvariidae,blyštekovité,incurvariinae,vespina,,
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,vespina,vespina slovaciella,blyštek slovenský
genus,adeloidea,incurvariidae,blyštekovité,incurvariinae,alloclemensia,,
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,alloclemensia,alloclemensia mesospilella,blyštek trojškvrnný
genus,adeloidea,incurvariidae,blyštekovité,incurvariinae,incurvaria,,
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,incurvaria,incurvaria pectinea,blyštek brezový
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,incurvaria,incurvaria masculella,blyštek bukový
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,incurvaria,incurvaria vetulella,blyštek horský
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,incurvaria,incurvaria oehlmanniella,blyštek Öhlmannov
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,incurvaria,incurvaria praelatella,blyštek jahodníkový
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,incurvaria,incurvaria koerneriella,blyštek Körnerov
genus,adeloidea,incurvariidae,blyštekovité,incurvariinae,phylloporia,,
species,adeloidea,incurvariidae,blyštekovité,incurvariinae,phylloporia,phylloporia bistrigella,blyštek dvojškvrnný
family,adeloidea,prodoxidae,lesklecovité,,,,
genus,adeloidea,prodoxidae,lesklecovité,,lampronia,,
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia capitella,lesklec ríbezľový
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia luzella,lesklec černicový
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia corticella,lesklec malinový
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia morosa,lesklec šípkový
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia flavimitrella,lesklec žltohlavý
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia standfussiella,lesklec Standfussov
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia provectella,lesklec ružový
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia rupella,lesklec horský
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia fuscatella,lesklec hálkový
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia splendidella,lesklec lesklý
species,adeloidea,prodoxidae,lesklecovité,,lampronia,lampronia argillella,lesklec žltohnedý
superfamily,tischerioidea,,,,,,
family,tischerioidea,tischeriidae,mínovníkovité,,,,
genus,tischerioidea,tischeriidae,mínovníkovité,,tischeria,,
species,tischerioidea,tischeriidae,mínovníkovité,,tischeria,tischeria ekebladella,mínovník dubový
species,tischerioidea,tischeriidae,mínovníkovité,,tischeria,tischeria dodonaea,mínovník žltý
species,tischerioidea,tischeriidae,mínovníkovité,,tischeria,tischeria decidua,mínovník gaštanový
