id,vernacularName,language,locality,countryCode,source,lexicon,contributor,created
398289,kovovka mníšková,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:42:08Z
491324,kovovka obyčajná,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:42:45Z
1083452,kovovka spriadačová,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:43:10Z
264319,kovovka zrniarková,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:43:34Z
264352,kovovka mlynáriková,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:44:03Z
69778,poskočkovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:44:40Z
264647,poskočka obyčajná,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:45:56Z
264999,poskočka vošková,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:46:36Z
85012,blyštičkovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:46:57Z
1558470,blyštička hrebenárková,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:47:29Z
201669,voškárovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:47:51Z
125163,voškár vlnačkový,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:48:11Z
264858,štítničkár žltý,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:48:47Z
311201,štítničkár brvavý,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:50:09Z
299188,štítničkár obyčajný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:50:44Z
264874,štítničkár záhradný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:51:49Z
751098,štítničkár dvojfarebný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:52:28Z
751921,moličiar poľný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:52:52Z
299195,moličiar skleníkový,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:54:11Z
130129,trichogramovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:54:35Z
264818,trichograma hnedá,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:54:58Z
1083501,trichograma žltá,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:55:37Z
1083488,trichograma čierna,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:55:50Z
203203,brvuľovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:58:06Z
393004,brvuľa stopkatá,sk,"","",,Slovak,Jakub Liptak,2025-09-16T18:58:47Z
342818,tôňovky,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:04:09Z
203200,tôňovkovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:04:29Z
1078214,vajíčkárovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:15:42Z
1083920,vajíčkár bzdochový,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:20:27Z
717824,vajíčkár obyčajný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:27:37Z
1269344,žihadlovky,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:28:11Z
51967,žihadlovkovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:28:28Z
738878,žihadlovka šesťškvrnná,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:34:31Z
48511,pamravcovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:36:43Z
471221,pamravec červenonohý,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:37:31Z
713342,pamravec čiernohlavý,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:41:06Z
555495,pamravec obyčajný,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:41:28Z
203212,blyskavky,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:42:10Z
1557630,blyskavka ohnivá,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:43:33Z
937971,blyskavka modrastá,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:43:55Z
604856,zlatuškovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:45:34Z
1190631,zlatuška dvojfarebná,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:45:58Z
203211,lapavkovité,sk,"","",,Slovak,Jakub Liptak,2025-09-16T19:46:21Z
