-> existing name differs properly for Bolboschoenus laticarpus: iNat 'Šašina' vs provided 'šarina širokoplodá'.
-> existing name differs properly for Briza media: iNat 'Kraslica Prostredná' vs provided 'traslica prostredná'.
-> existing name differs properly for Buphthalmum salicifolium: iNat 'Volovec Vŕbolistý' vs provided 'volské oko vŕbolisté'.
-> existing name differs properly for Bupleurum affine: iNat 'Prerastlík Prútnatý' vs provided 'prerastlík príbuzný'.
-> existing name differs properly for Campanula cervicaria: iNat 'Zvonček Lekársky' vs provided 'zvonček hrdlohojivý'.
-> existing name differs properly for Capsella bursa-pastoris: iNat 'Kapsička Pastierska' vs provided 'pastierska kapsička obyčajná'.
-> existing name differs properly for Caragana arborescens: iNat 'Karagana Stromovitá' vs provided 'karagana stromčekovitá'.
-> existing name differs properly for Cardamine enneaphyllos: iNat 'Zubačka Deväťlistá' vs provided 'zubačka deväťlístková'.
-> existing name differs properly for Carduus acanthoides: iNat 'Bodliak Obyčajný' vs provided 'bodliak ostnatý'.
-> existing name differs properly for Carex cespitosa: iNat 'Ostrica Trstnatá' vs provided 'ostrica trsnatá'.
-> existing name differs properly for Carex digitata: iNat 'Ostrica Prstnatá' vs provided 'ostrica prstovitá'.
-> existing name differs properly for Carex hartmaniorum: iNat 'Ostrica Hartmanova' vs provided 'ostrica Hartmannovcov'.
-> existing name differs properly for Carex humilis: iNat 'Ostrica Trstnatá' vs provided 'ostrica nízka'.
-> existing name differs properly for Carex polyphylla: iNat 'Ostrica Leersova' vs provided 'ostrica mnoholistá'.
-> existing name differs properly for Carex strigosa: iNat 'Ostrica Hrebienkatá' vs provided 'ostrica štíhloklásková'.
-> existing name differs properly for Carex vesicaria: iNat 'Ostrica Pľuzgierkatá' vs provided 'ostrica mechúrikatá'.
-> existing name differs properly for Casimiroa sapota: iNat 'Kazimiroa Jedlá' vs provided 'kazimiroa sapotová'.
-> existing name differs properly for Catalpa fargesii: iNat 'Katalpa Bungeho' vs provided 'katalpa Fargesova'.
-> existing name differs properly for Catalpa speciosa: iNat 'Katalpa Úhľadná' vs provided 'katalpa nádherná'.
-> existing name differs properly for Cedrus atlantica: iNat 'Céder Atlantský' vs provided 'céder atlaský'.
-> existing name differs properly for Cenchrus purpurascens: iNat 'Ostroklas Psiarkovitý' vs provided 'ostroklas purpurový'.
-> existing name differs properly for Centaurea phrygia: iNat 'Nevädzovec Frygický' vs provided 'nevädza frygická'.
-> existing name differs properly for Centaurea stoebe: iNat 'Nevädzka Porýnska' vs provided 'nevädza porýnska'.
-> existing name differs properly for Centaurium erythraea: iNat 'Zemežlč Menšia' vs provided 'zemežlč lekárska'.
