rank,sciName,matches
subspecies,Potentilla recta laciniosa,"[('Nátržník Priamy Strapkatý', 'Potentilla recta laciniosa')]"
subspecies,Potentilla supina supina,"[('Nátržník Poliehavý Pravý', 'Potentilla supina supina')]"
subspecies,Prunus padus borealis,"[('Prunus padus borealis', 'Varieta')]"
subspecies,Prunus padus padus,"[('Prunus padus padus', 'Varieta')]"
subspecies,Pseudotsuga menziesii menziesii,"[('Pseudotsuga menziesii menziesii', 'Varieta')]"
subspecies,Pteridium aquilinum aquilinum,"[('Pteridium aquilinum aquilinum', 'Varieta')]"
subspecies,Pteridium aquilinum pinetorum,"[('Pteridium pinetorum (Pteridium aquilinum pinetorum)', 'Druh')]"
subspecies,Quercus pubescens pubescens,"[('Dub Jadranský', 'Quercus pubescens pubescens')]"
subspecies,Ranunculus acris acris,"[('Ranunculus acris acris', 'Varieta')]"
subspecies,Ranunculus trichophyllus eradicatus,"[('Ranunculus confervoides (Ranunculus trichophyllus eradicatus)', 'Druh')]"
subspecies,Ranunculus trichophyllus trichophyllus,"[('Močiarka Niťovitolistá (Ranunculus trichophyllus trichophyllus)', 'Ranunculus trichophyllus')]"
subspecies,Rhamnus alpina fallax,"[('Rhamnus fallax (Rhamnus alpina fallax)', 'Druh')]"
subspecies,Rosa dumalis coriifolia,"[('Rosa caesia (Rosa dumalis coriifolia)', 'Druh')]"
subspecies,Rosa dumalis dumalis,"[('Ruža Hájna (Rosa dumalis dumalis)', 'Rosa dumalis')]"
subspecies,Rumex acetosella acetoselloides,"[('Štiav Obyčajný Tenkolistý', 'Rumex acetosella acetoselloides')]"
subspecies,Salsola kali ruthenica,"[('Slanobyľ Draslomilná (Salsola kali ruthenica)', 'Salsola tragus')]"
subspecies,Saxifraga moschata dominii,"[('Lomikameň Pižmový (Saxifraga moschata dominii)', 'Saxifraga moschata')]"
subspecies,Sedum rupestre montanum,"[('Petrosedum montanum (Sedum rupestre montanum)', 'Druh')]"
subspecies,Sedum rupestre rupestre,"[('Rozchodník Skalný (Sedum rupestre rupestre)', 'Petrosedum rupestre')]"
subspecies,Setaria viridis pycnocoma,"[('Mohár Zelený (Setaria viridis pycnocoma)', 'Setaria viridis')]"
subspecies,Setaria viridis viridis,"[('Mohár Zelený (Setaria viridis viridis)', 'Setaria viridis')]"
subspecies,Silene acaulis bryoides,"[('Silene acaulis exscapa (Silene acaulis bryoides)', 'Varieta')]"
subspecies,Silene dichotoma dichotoma,"[('Silenka Vidlicovitá (Silene dichotoma dichotoma)', 'Silene dichotoma')]"
subspecies,Silene latifolia alba,"[('Silenka Biela Pravá', 'Silene latifolia alba')]"
subspecies,Solanum nigrum nigrum,"[('Ľuľok Čierny (Solanum nigrum nigrum)', 'Solanum nigrum')]"
subspecies,Solanum nigrum schultesii,"[('Ľuľok Čierny (Solanum nigrum schultesii)', 'Solanum nigrum')]"
subspecies,Soldanella hungarica hungarica,"[('Soldanelka Uhorská (Soldanella hungarica hungarica)', 'Soldanella hungarica')]"
subspecies,Soldanella hungarica major,"[('Soldanella major (Soldanella hungarica major)', 'Druh')]"
subspecies,Swertia perennis perennis,"[('Swertia perennis perennis', 'Varieta')]"
subspecies,Symphytum tuberosum angustifolium,"[('Kostihoj Úzkolistý', 'Symphytum tuberosum angustifolium')]"
subspecies,Trifolium arvense arvense,"[('Ďatelina Roľná (Trifolium arvense arvense)', 'Trifolium arvense')]"
subspecies,Trifolium arvense gracile,"[('Ďatelina Roľná (Trifolium arvense gracile)', 'Trifolium arvense')]"
subspecies,Trifolium pratense nivale,"[('Trifolium pratense frigidum (Trifolium pratense nivale)', 'Varieta')]"
subspecies,Trifolium pratense pratense,"[('Trifolium pratense pratense', 'Varieta')]"
subspecies,Trifolium pratense sativum,"[('Trifolium pratense sativum', 'Varieta')]"
subspecies,Ulmus glabra glabra,"[('Ulmus glabra glabra', 'Forma')]"
subspecies,Veratrum album album,"[('Kýchavica Biela (Veratrum album album)', 'Veratrum album')]"
subspecies,Veratrum album lobelianum,"[('Kýchavica Lobelova (Veratrum album lobelianum)', 'Veratrum lobelianum')]"
subspecies,Veronica serpyllifolia humifusa,"[('Veronica serpyllifolia humifusa', 'Varieta')]"
subspecies,Veronica serpyllifolia serpyllifolia,"[('Veronica serpyllifolia serpyllifolia', 'Varieta')]"
subspecies,Vicia villosa varia,"[('Vika Huňatá Olysalá', 'Vicia villosa varia')]"
subspecies,Vigna unguiculata cylindrica,"[('Vigna Nechtíkatá Pravá (Vigna unguiculata cylindrica)', 'Vigna unguiculata unguiculata')]"
subspecies,Vitis vinifera sylvestris,"[('Vinič Lesný', 'Vitis vinifera sylvestris')]"
subspecies,Zea mays mexicana,"[('Zea mexicana (Zea mays mexicana)', 'Druh')]"
variety,Acer campestre campestre,"[('Acer campestre campestre', 'Poddruh')]"
variety,Acer campestre leiocarpum,"[('Acer campestre leiocarpum', 'Poddruh')]"
variety,Aesculus chinensis wilsonii,"[('Pagaštan Čínsky (Aesculus chinensis wilsonii)', 'Aesculus chinensis')]"
variety,Amaranthus blitum blitum,"[('Amaranthus blitum blitum', 'Poddruh')]"
variety,Amaranthus blitum oleraceus,"[('Amaranthus blitum oleraceus', 'Poddruh')]"
variety,Betula utilis jacquemontii,"[('Betula utilis jacquemontii', 'Poddruh')]"
variety,Bromus carinatus marginatus,"[('Bromus marginatus (Bromus carinatus marginatus)', 'Druh')]"
variety,Cannabis sativa sativa,"[('Cannabis sativa sativa', 'Poddruh')]"
variety,Digitaria sanguinalis pectiniformis,"[('Digitaria sanguinalis pectiniformis', 'Poddruh')]"
variety,Digitaria sanguinalis sanguinalis,"[('Digitaria sanguinalis sanguinalis', 'Poddruh')]"
variety,Holosteum umbellatum umbellatum,"[('Holosteum umbellatum umbellatum', 'Poddruh')]"
variety,Koeleria macrantha macrantha,"[('Koeleria macrantha macrantha', 'Poddruh')]"
variety,Lactuca quercina quercina,"[('Lactuca quercina quercina', 'Poddruh')]"
variety,Leontodon hispidus glabratus,"[('Leontodon hispidus hastilis (Leontodon hispidus glabratus)', 'Poddruh'), ('Leontodon hispidus glabratus', 'Poddruh')]"
variety,Leontodon hispidus hispidus,"[('Leontodon hispidus hispidus', 'Poddruh')]"
variety,Lilium bulbiferum croceum,"[('Ľalia Cibuľkonosná (Lilium bulbiferum croceum)', 'Lilium bulbiferum')]"
variety,Lonicera caerulea altaica,"[('Lonicera caerulea altaica', 'Poddruh')]"
variety,Lotus corniculatus corniculatus,"[('Lotus corniculatus corniculatus', 'Poddruh')]"
variety,Opuntia phaeacantha camanchica,"[('Opuntia camanchica (Opuntia phaeacantha camanchica)', 'Druh')]"
variety,Pastinaca sativa pratensis,"[('Paštrnák Siaty (Pastinaca sativa pratensis)', 'Pastinaca sativa')]"
variety,Pastinaca sativa sativa,"[('Pastinaca sativa sativa', 'Poddruh')]"
variety,Phalaris arundinacea arundinacea,"[('Chrastica Trsťovitá (Phalaris arundinacea arundinacea)', 'Phalaris arundinacea')]"
variety,Phalaris arundinacea picta,"[('Chrastica Trsťovitá (Phalaris arundinacea picta)', 'Phalaris arundinacea')]"
variety,Picea brachytyla brachytyla,"[('Smrek Smutný (Picea brachytyla brachytyla)', 'Picea brachytyla')]"
variety,Picea brachytyla complanata,"[('Smrek Smutný (Picea brachytyla complanata)', 'Picea brachytyla')]"
variety,Potentilla argentea argentea,"[('Nátržník Strieborný (Potentilla argentea argentea)', 'Potentilla argentea')]"
variety,Reynoutria japonica japonica,"[('Pohánkovec Japonský (Reynoutria japonica japonica)', 'Reynoutria japonica')]"
variety,Rumex obtusifolius obtusifolius,"[('Rumex obtusifolius obtusifolius', 'Poddruh')]"
variety,Rumex obtusifolius subalpinus,"[('Rumex obtusifolius subalpinus', 'Poddruh')]"
variety,Rumex obtusifolius transiens,"[('Rumex obtusifolius transiens', 'Poddruh')]"
variety,Spiraea douglasii menziesii,"[('Spiraea douglasii menziesii', 'Poddruh')]"
variety,Symphyotrichum subulatum squamatum,"[('Symphyotrichum squamatum (Symphyotrichum subulatum squamatum)', 'Druh')]"
variety,Taxodium distichum distichum,"[('Tisovec Dvojradový (Taxodium distichum distichum)', 'Taxodium distichum')]"
variety,Taxodium distichum imbricarium,"[('Taxodium ascendens (Taxodium distichum imbricarium)', 'Druh')]"
variety,Valeriana officinalis officinalis,"[('Valeriana officinalis officinalis', 'Poddruh')]"
variety,Veronica peregrina peregrina,"[('Veronica peregrina peregrina', 'Poddruh')]"
variety,Veronica peregrina xalapensis,"[('Veronica peregrina xalapensis', 'Poddruh')]"
variety,Viola suavis suavis,"[('Viola suavis suavis', 'Poddruh')]"
