rank,sciName,matches
hybrid,Gladiolus × lewisiae,"[('Gladiolus caryophyllaceus × tristis (Gladiolus lewisiae)', 'Kríženec')]"
hybrid,Hosta × fortunei,"[('Hosta sieboldiana sieboldiana (Hosta fortunei)', 'Varieta')]"
hybrid,Hosta × undulata,"[('Hosta undulata', 'Druh')]"
hybrid,Iris × sambucina,"[('Kosatec Nemecký (Iris × sambucina)', 'Iris × germanica')]"
hybrid,Lupinus× hybridus,"[('Lupinus hybridus', 'Druh'), ('Lupinus × hybridus', 'Kríženec')]"
hybrid,Malus × dasyphylla,"[('Malus dasyphylla', 'Druh')]"
hybrid,Malus × scheideckeri,"[('Pyrus pulcherrima scheideckeri (Malus scheideckeri)', 'Poddruh')]"
hybrid,Mandevilla × amabilis,"[('Mandevilla amabilis', 'Druh')]"
hybrid,Pelargonium × hybridum,"[('Muškát Záhradný', 'Pelargonium × hybridum')]"
hybrid,Philadelphus × falconeri,"[('Philadelphus falconeri', 'Druh')]"
hybrid,Phlox × procumbens,"[('Phlox procumbens', 'Druh')]"
hybrid,Pilosella × fuscoatra,"[('Pilosella fuscoatra', 'Druh')]"
hybrid,Poa × nobilis,"[('Poa nobilis', 'Druh')]"
hybrid,Populus × candicans,"[('Topoľ Balzamový (Populus candicans)', 'Populus balsamifera')]"
hybrid,Prunus × blireana,"[('Prunus blireana (Prunus × blireana)', 'Druh')]"
hybrid,Prunus × fruticans,"[('Slivka Domáca Guľatoplodá × Trnka Obyčajná', 'Prunus × fruticans')]"
hybrid,Reynoutria × bohemica,"[('Pohánkovec Český', 'Reynoutria × bohemica')]"
hybrid,Robinia × margarettae,"[('Robinia × margaretta (Robinia margarettae)', 'Kríženec')]"
hybrid,Salix × blanda,"[('Vŕba Previsnutá (Salix × blanda)', 'Salix × pendulina')]"
hybrid,Sorbus × ambigua,"[('Majovskya ambigua (Sorbus ambigua)', 'Druh')]"
hybrid,Sorbus × decipiens,"[('Karpatiosorbus hybrida (Sorbus decipiens)', 'Druh')]"
hybrid,Sorghum × drummondii,"[('Sorghum bicolor × drummondii (Sorghum × drummondii)', 'Poddruh')]"
hybrid,Spiraea × bumalda,"[('Spiraea japonica japonica (Spiraea × bumalda)', 'Varieta')]"
hybrid,Spiraea × multiflora,"[('Spiraea multiflora', 'Druh')]"
hybrid,Spiraea × schinabeckii,"[('Spiraea schinabeckii', 'Druh')]"
hybrid,Spiraea × vanhouttei,"[('Tavoľník Ostrý', 'Spiraea × vanhouttei')]"
hybrid,Staphylea × elegans,"[('Staphylea elegans', 'Druh')]"
hybrid,Symphoricarpos × doorenbosii,"[('Symphoricarpos doorenbosii', 'Druh')]"
hybrid,Syringa × hyacinthiflora,"[('Syringa hyacinthiflora', 'Druh')]"
hybrid,Tradescantia × andersoniana,"[('Tradescantia virginiana (Tradescantia × andersoniana)', 'Dokončiť')]"
hybrid,Tulipa × gesneriana,"[('Tulipán Gesnerov', 'Tulipa gesneriana')]"
section,Taraxacum sect. Erythrosperma,"[('Erythrosperma (Taraxacum sect erythrosperma)', 'Sekcia')]"
section,Taraxacum sect. Hamata,"[('Hamata (Taraxacum sect hamata)', 'Sekcia')]"
species,Abies borisii-regis,"[('Abies × borisii-regis', 'Kríženec')]"
species,Abies fabri,"[('Abies delavayi fabri (Abies fabri)', 'Varieta')]"
species,Abies georgei,"[('Abies forrestii georgei (Abies georgei)', 'Varieta')]"
species,Aconitum corsicum,"[('Aconitum napellus corsicum (Aconitum corsicum)', 'Poddruh')]"
species,Allium coloratum,"[('Allium carinatum pulchellum (Allium coloratum)', 'Varieta,Allium schoenoprasum schoenoprasum (Allium coloratum)', 'Varieta')]"
species,Amaranthus bouchonii,"[('Amaranthus hybridus hybridus (Amaranthus bouchonii)', 'Poddruh')]"
species,Amsinckia micrantha,"[('Amsinckia menziesii menziesii (Amsinckia micrantha)', 'Varieta')]"
species,Atriplex calotheca,"[('Atriplex prostrata calotheca (Atriplex calotheca)', 'Poddruh')]"
species,Beta maritima,"[('Beta vulgaris maritima (Beta maritima)', 'Poddruh')]"
species,Betula albosinensis,"[('Betula utilis albosinensis (Betula albosinensis)', 'Poddruh')]"
species,Bryonia dioica,"[('Bryonia cretica dioica (Bryonia dioica)', 'Poddruh')]"
species,Callitris robusta,"[('Kalitria (Callitris robusta)', 'Rod Callitris')]"
species,Calophyllum antillanum,"[('Calophyllum brasiliense antillanum (Calophyllum antillanum)', 'Varieta')]"
species,Calystegia pulchra,"[('Calystegia × pulchra (Calystegia pulchra)', 'Kríženec')]"
species,Campanula gelida,"[('Campanula bohemica gelida (Campanula gelida)', 'Poddruh')]"
species,Carlina onopordifolia,"[('Carlina acanthifolia utzka (Carlina onopordifolia)', 'Poddruh')]"
species,Centaurea indurata,"[('Centaurea phrygia indurata (Centaurea indurata)', 'Poddruh')]"
species,Centaurea stenolepis,"[('Centaurea phrygia stenolepis (Centaurea stenolepis)', 'Poddruh')]"
species,Cerastium lucorum,"[('Cerastium fontanum lucorum (Cerastium lucorum)', 'Poddruh')]"
species,Cerastium tenoreanum,"[('Cerastium brachypetalum tenoreanum (Cerastium tenoreanum)', 'Poddruh')]"
species,Colymbada alpestris,"[('Centaurea scabiosa alpestris (Colymbada alpestris)', 'Poddruh')]"
species,Echinochloa frumentacea,"[('Echinochloa colona edulis (Echinochloa frumentacea)', 'Poddruh')]"
species,Eleusine africana,"[('Eleusine coracana africana (Eleusine africana)', 'Poddruh')]"
species,Empetrum hermaphroditum,"[('Empetrum nigrum hermaphroditum (Empetrum hermaphroditum)', 'Poddruh')]"
species,Epipactis distans,"[('Epipactis helleborine orbicularis (Epipactis distans)', 'Poddruh')]"
species,Epipactis futakii,"[('Epipactis leptochila leptochila (Epipactis futakii)', 'Poddruh')]"
species,Epipactis leutei,"[('Epipactis helleborine leutei (Epipactis leutei)', 'Poddruh')]"
species,Epipactis voethii,"[('Epipactis helleborine helleborine (Epipactis voethii)', 'Poddruh')]"
species,Erigeron muralis,"[('Erigeron acris serotinus (Erigeron muralis)', 'Poddruh')]"
species,Erysimum cheiri,"[('Erysimum × cheiri (Erysimum cheiri)', 'Kríženec')]"
species,Euphorbia angularis,"[('Euphorbia cooperi cooperi (Euphorbia angularis)', 'Varieta')]"
species,Exochorda giraldii,"[('Exochorda racemosa giraldii (Exochorda giraldii)', 'Poddruh')]"
species,Gagea pomeranica,"[('Gagea × pomeranica', 'Kríženec')]"
species,Galium wirtgenii,"[('Galium verum wirtgenii (Galium wirtgenii)', 'Poddruh')]"
species,Gentiana orbicularis,"[('Gentiana brachyphylla favratii (Gentiana orbicularis)', 'Poddruh')]"
species,Gentianella fatrae,"[('Gentianella austriaca fatrae (Gentianella fatrae)', 'Poddruh')]"
species,Hibiscus rosa-sinensis,"[('Hibiscus × rosa-sinensis (Hibiscus rosa-sinensis)', 'Kríženec')]"
species,Hieracium albinum,"[('Hieracium umbrosum albinum (Hieracium albinum)', 'Poddruh')]"
species,Hieracium ammobium,"[('Hieracium bifidum psammogenes (Hieracium ammobium)', 'Poddruh')]"
species,Hieracium conicum,"[('Hieracium crocatum conicum (Hieracium conicum)', 'Poddruh')]"
species,Hieracium engleri,"[('Hieracium carpathicum engleri (Hieracium engleri)', 'Poddruh')]"
species,Hieracium glanduliferum,"[('Hieracium piliferum glanduliferum (Hieracium glanduliferum)', 'Poddruh')]"
species,Hieracium silesiacum,"[('Hieracium sparsum silesiacum (Hieracium silesiacum)', 'Poddruh')]"
species,Hieracium stygium,"[('Hieracium chlorocephalum stygium (Hieracium stygium)', 'Poddruh')]"
species,Hordeum geniculatum,"[('Hordeum marinum gussoneanum (Hordeum geniculatum)', 'Poddruh')]"
species,Hymenopus  macrophyllus,"[('Hymenopus macrophyllus', 'Druh')]"
species,Hypericum dubium,"[('Hypericum maculatum obtusiusculum (Hypericum dubium)', 'Poddruh')]"
species,Lithops bella,"[('Lithops karasmontana bella (Lithops bella)', 'Poddruh')]"
species,Lonicera nitida,"[('Lonicera ligustrina yunnanensis (Lonicera nitida)', 'Varieta')]"
species,Lonicera pileata,"[('Lonicera ligustrina pileata (Lonicera pileata)', 'Varieta')]"
species,Lotus alpicola,"[('Lotus corniculatus corniculatus (Lotus alpicola)', 'Poddruh')]"
species,Lycopodium oellgaardii,"[('Diphasiastrum × oellgaardii (Lycopodium oellgaardii)', 'Kríženec')]"
species,Lycopodium zeilleri,"[('Diphasiastrum × zeilleri (Lycopodium zeilleri)', 'Kríženec')]"
species,Monotropa hypophegea,"[('Monotropa hypopitys hypophegea (Monotropa hypophegea)', 'Poddruh')]"
species,Myosotis cespitosa,"[('Myosotis laxa cespitosa (Myosotis cespitosa)', 'Poddruh')]"
species,Myrceugenia  exsucca,"[('Myrceugenia exsucca', 'Druh')]"
species,Nymphaea capensis,"[('Nymphaea nouchali caerulea (Nymphaea capensis)', 'Varieta')]"
species,Oenothera fallax,"[('Oenothera × fallax', 'Kríženec')]"
species,Oenothera oehlkersii,"[('Oenothera × fallax (Oenothera × oehlkersii)', 'Kríženec')]"
species,Olearia macrodonta,"[('Olearia × macrodonta (Olearia macrodonta)', 'Kríženec')]"
species,Papaver corona-sancti-stephani,"[('Oreomecon alpina corona-sancti-stephani (Papaver corona-sancti-stephani)', 'Poddruh')]"
species,Papaver kerneri,"[('Oreomecon alpina kerneri (Papaver kerneri)', 'Poddruh')]"
species,Papaver rhaeticum,"[('Oreomecon alpina markgrafiana (Papaver rhaeticum)', 'Poddruh')]"
species,Passiflora mollissima,"[('Passiflora tripartita mollissima (Passiflora mollissima)', 'Varieta')]"
species,Phelipanche bohemica,"[('Phelipanche purpurea bohemica (Phelipanche bohemica)', 'Poddruh')]"
species,Pilocarpus microphyllus,"[('Pilokarp (Pilocarpus microphyllus)', 'Rod Pilocarpus')]"
species,Pilosella bifurca,"[('Pilosella × bifurca', 'Kríženec')]"
species,Plantago uliginosa,"[('Plantago major intermedia (Plantago uliginosa)', 'Poddruh')]"
species,Populus koreana,"[('Populus suaveolens suaveolens (Populus koreana)', 'Forma')]"
species,Primula beesiana,"[('Primula bulleyana beesiana (Primula beesiana)', 'Poddruh')]"
species,Prunus subhirtella,"[('Prunus × subhirtella', 'Kríženec')]"
species,Pseudobombax  septenatum,"[('Pseudobombax septenatum', 'Druh')]"
species,Ranunculus polyanthemoides,"[('Ranunculus polyanthemos polyanthemoides (Ranunculus polyanthemoides)', 'Poddruh')]"
species,Raphanus sativus,"[('Raphanus raphanistrum sativus (Raphanus sativus)', 'Poddruh')]"
species,Rubus fruticosus agg.,"[('Rubus (Rubus fruticosus agg)', 'Sekcia')]"
species,Saccharum sinense,"[('Saccharum × sinense', 'Kríženec')]"
species,Salix glaucosericea,"[('Salix glauca villosa (Salix glaucosericea)', 'Varieta')]"
species,Scleranthus polycarpos,"[('Scleranthus annuus polycarpos (Scleranthus polycarpos)', 'Poddruh')]"
species,Senecio germanicus,"[('Senecio nemorensis jacquinianus (Senecio germanicus)', 'Poddruh'), ('Senecio nemorensis glabratus (Senecio germanicus)', 'Poddruh')]"
species,Sorghum arundinaceum,"[('Sorghum bicolor verticilliflorum (Sorghum arundinaceum)', 'Poddruh')]"
species,Symphoricarpos hesperius,"[('Symphoricarpos mollis hesperius (Symphoricarpos hesperius)', 'Varieta')]"
species,Symphytum tanaicense,"[('Symphytum officinale uliginosum (Symphytum tanaicense)', 'Poddruh')]"
species,Trifolium flexuosum,"[('Trifolium medium medium (Trifolium flexuosum)', 'Poddruh')]"
species,Urtica galeopsifolia,"[('Urtica dioica pubescens (Urtica galeopsifolia)', 'Poddruh')]"
species,Utricularia ochroleuca,"[('Utricularia × ochroleuca (Utricularia ochroleuca)', 'Kríženec')]"
species,Vaccinium gaultherioides,"[('Vaccinium uliginosum microphyllum (Vaccinium gaultherioides)', 'Poddruh')]"
species,Veronica jacquinii,"[('Veronica austriaca jacquinii (Veronica jacquinii)', 'Poddruh')]"
species,Veronica vindobonensis,"[('Veronica chamaedrys vindobonensis (Veronica vindobonensis)', 'Varieta')]"
species,Viburnum trilobum,"[('Viburnum opulus americanum (Viburnum trilobum)', 'Varieta')]"
subspecies_hybrid,Viola × contempta bohemica,"[('Viola × contempta bohemica', 'Poddruh')]"
subspecies,Acer tataricum ginnala,"[('Acer ginnala (Acer tataricum ginnala)', 'Druh')]"
subspecies,Aconitum firmum firmum,"[('Prilbica Tuhá Pravá', 'Aconitum firmum firmum')]"
subspecies,Aconitum lycoctonum lycoctonum,"[('Prilbica Žltá (Aconitum lycoctonum lycoctonum)', 'Aconitum lycoctonum')]"
subspecies,Aconitum lycoctonum vulparia,"[('Prilbica Žltá "Vulparia" (Aconitum lycoctonum vulparia)', 'Aconitum vulparia')]"
subspecies,Agave coetocapnia coetocapnia,"[('Agáva Zdvojenokvetá (Agave coetocapnia coetocapnia)', 'Polianthes geminiflora,Polianthes geminiflora geminiflora (Agave coetocapnia coetocapnia)', 'Varieta')]"
subspecies,Agrostis stolonifera stolonifera,"[('Psinček Poplazový (Agrostis stolonifera stolonifera)', 'Agrostis stolonifera')]"
subspecies,Aira caryophyllea caryophyllea,"[('Ovsienka Mnohokvetá (Aira caryophyllea caryophyllea)', 'Aira caryophyllea')]"
