scientificName,rank,scientificNameInInat
Phelipanche bohemica,species,Phelipanche purpurea bohemica
Pilosella bifurca,species,Pilosella × bifurca
Plantago uliginosa,species,Plantago major intermedia
Populus koreana,species,Populus suaveolens suaveolens
Primula beesiana,species,Primula bulleyana beesiana
Prunus subhirtella,species,Prunus × subhirtella
Pseudobombax  septenatum,species,Pseudobombax septenatum
Ranunculus polyanthemoides,species,Ranunculus polyanthemos polyanthemoides
Raphanus sativus,species,Raphanus raphanistrum sativus
Rubus fruticosus agg.,species,Rubus
Saccharum sinense,species,Saccharum × sinense
Salix glaucosericea,species,Salix glauca villosa
Scleranthus polycarpos,species,Scleranthus annuus polycarpos
Senecio germanicus,species,Senecio nemorensis jacquinianus
Sorghum arundinaceum,species,Sorghum bicolor verticilliflorum
Symphoricarpos hesperius,species,Symphoricarpos mollis hesperius
Symphytum tanaicense,species,Symphytum officinale uliginosum
Viburnum trilobum,species,Viburnum opulus americanum
Urtica galeopsifolia,species,Urtica dioica pubescens
Utricularia ochroleuca,species,Utricularia × ochroleuca
Vaccinium gaultherioides,species,Vaccinium uliginosum microphyllum
Veronica jacquinii,species,Veronica austriaca jacquinii
Veronica vindobonensis,species,Veronica chamaedrys vindobonensis
Viola × contempta bohemica,subspecies_hybrid,Viola × contempta bohemica
Acer tataricum ginnala,subspecies,Acer ginnala
Allium schoenoprasum schoenoprasum,subspecies,Allium schoenoprasum schoenoprasum
Aquilegia pyrenaica discolor,subspecies,Aquilegia discolor
Arabis alpina caucasica,subspecies,Arabis caucasica
Asarum europaeum caucasicum,subspecies,Asarum caucasicum
Cedrus libani brevifolia,subspecies,Cedrus brevifolia
Chenopodium berlandieri zschackei,subspecies,Chenopodium berlandieri zschackei
Echinocereus longisetus delaetii,subspecies,Echinocereus delaetii
Eucalyptus delegatensis tasmaniensis,subspecies,Eucalyptus tasmaniensis
Galium parisiense anglicum,subspecies,Galium anglicum
Hedera helix helix,subspecies,Hedera helix helix
Heracleum sphondylium sibiricum,subspecies,Heracleum sibiricum
Huperzia selago selago,subspecies,Huperzia selago selago
Juniperus communis communis,subspecies,Juniperus communis communis
Lamium amplexicaule amplexicaule,subspecies,Lamium amplexicaule amplexicaule
Larix decidua decidua,subspecies,Larix decidua decidua
Larix decidua polonica,subspecies,Larix decidua polonica
Lens culinaris orientalis,subspecies,Vicia orientalis
Lilium martagon martagon,subspecies,Lilium martagon martagon
Lolium pratense apenninum,subspecies,Lolium apenninum
Neotinea ustulata aestivalis,subspecies,Neotinea ustulata aestivalis
Neotinea ustulata ustulata,subspecies,Neotinea ustulata ustulata
Ophrys fusca pallida,subspecies,Ophrys pallida
Parnassia palustris palustris,subspecies,Parnassia palustris palustris
Pentanema salicinum sabuletorum,subspecies,Pentanema sabuletorum
Phaseolus maculatus ritensis,subspecies,Phaseolus ritensis
Pinus brutia brutia,subspecies,Pinus brutia brutia
Pinus brutia eldarica,subspecies,Pinus brutia eldarica
Pinus brutia pityusa,subspecies,Pinus brutia pityusa
Portulaca oleracea oleracea,subspecies,Portulaca oleracea oleracea
Portulaca oleracea sativa,subspecies,Portulaca oleracea sativa
Prunus padus borealis,subspecies,Prunus padus borealis
Prunus padus padus,subspecies,Prunus padus padus
Pseudotsuga menziesii menziesii,subspecies,Pseudotsuga menziesii menziesii
Pteridium aquilinum aquilinum,subspecies,Pteridium aquilinum aquilinum
Pteridium aquilinum pinetorum,subspecies,Pteridium pinetorum
Ranunculus acris acris,subspecies,Ranunculus acris acris
Rhamnus alpina fallax,subspecies,Rhamnus fallax
Sedum rupestre montanum,subspecies,Petrosedum montanum
Swertia perennis perennis,subspecies,Swertia perennis perennis
Trifolium pratense pratense,subspecies,Trifolium pratense pratense
Trifolium pratense sativum,subspecies,Trifolium pratense sativum
Ulmus glabra glabra,subspecies,Ulmus glabra glabra
Veronica serpyllifolia humifusa,subspecies,Veronica serpyllifolia humifusa
Veronica serpyllifolia serpyllifolia,subspecies,Veronica serpyllifolia serpyllifolia
Zea mays mexicana,subspecies,Zea mexicana
Acer campestre campestre,variety,Acer campestre campestre
Acer campestre leiocarpum,variety,Acer campestre leiocarpum
Amaranthus blitum blitum,variety,Amaranthus blitum blitum
Amaranthus blitum oleraceus,variety,Amaranthus blitum oleraceus
Betula utilis jacquemontii,variety,Betula utilis jacquemontii
Bromus carinatus marginatus,variety,Bromus marginatus
Cannabis sativa sativa,variety,Cannabis sativa sativa
Digitaria sanguinalis pectiniformis,variety,Digitaria sanguinalis pectiniformis
Digitaria sanguinalis sanguinalis,variety,Digitaria sanguinalis sanguinalis
Holosteum umbellatum umbellatum,variety,Holosteum umbellatum umbellatum
Koeleria macrantha macrantha,variety,Koeleria macrantha macrantha
Lactuca quercina quercina,variety,Lactuca quercina quercina
Leontodon hispidus hispidus,variety,Leontodon hispidus hispidus
Lonicera caerulea altaica,variety,Lonicera caerulea altaica
Lotus corniculatus corniculatus,variety,Lotus corniculatus corniculatus
Opuntia phaeacantha camanchica,variety,Opuntia camanchica
Pastinaca sativa sativa,variety,Pastinaca sativa sativa
Rumex obtusifolius obtusifolius,variety,Rumex obtusifolius obtusifolius
Rumex obtusifolius subalpinus,variety,Rumex obtusifolius subalpinus
Rumex obtusifolius transiens,variety,Rumex obtusifolius transiens
Spiraea douglasii menziesii,variety,Spiraea douglasii menziesii
Symphyotrichum subulatum squamatum,variety,Symphyotrichum squamatum
Valeriana officinalis officinalis,variety,Valeriana officinalis officinalis
Veronica peregrina peregrina,variety,Veronica peregrina peregrina
Veronica peregrina xalapensis,variety,Veronica peregrina xalapensis
Viola suavis suavis,variety,Viola suavis suavis
Spiraea × vanhouttei,hybrid,Spiraea × vanhouttei
