sciName,rank,matches
Rubus gracilis,species,"[('Rubus pedunculosus', 'Rubus gracilis', 'species'), ('Rubus gracilis', 'species')]"
Rubus melanoxylon,species,"[('Rubus furvicolor', 'Rubus melanoxylon', 'species'), ('Rubus melanoxylon', 'species'), ('Rubus melanodermis', 'Rubus melanoxylon', 'species')]"
Rubus nigricatus,species,"[('Rubus nigricatus', 'species'), ('Rubus aequalidens', 'Rubus nigricatus', 'species')]"
Rubus rosaceus,species,"[('Rubus erythrops', 'Rubus rosaceus', 'species'), ('Rubus rosaceus', 'species'), ('Rubus rubriflorus', 'Rubus rosaceus', 'species'), ('Rubus scabripes', 'Rubus rosaceus', 'species')]"
Rubus schlechtendalii,species,"[('Rubus amplificatus', 'Rubus schlechtendalii', 'species'), ('Rubus schlechtendalii', 'species')]"
Salicornia fruticosa,species,"[('Salicornia fruticosa', 'species'), ('Halocnemum strobilaceum', 'Salicornia fruticosa', 'species')]"
Schizaea dichotoma,species,"[('Schizaea dichotoma', 'species'), ('Schizaea poeppigiana', 'Schizaea dichotoma', 'species')]"
Schoenus natans,species,"[('Isolepis tenuissima', 'Schoenus natans', 'species'), ('Schoenus natans', 'species')]"
Smithia,genus,"[('Smithia', 'genus'), ('Kotschya', 'Smithia', 'genus'), ('Humbertia', 'Smithia', 'genus')]"
Solenostemma arghel,species,"[('Solenostemma oleifolium', 'Solenostemma arghel', 'species'), ('Solenostemma arghel', 'species')]"
Sorbus hybrida,species,"[('Hedlundia hybrida', 'Sorbus hybrida', 'species'), ('Hedlundia pseudofennica', 'Sorbus hybrida', 'species')]"
Spiraea chinensis,species,"[('Spiraea nervosa', 'Spiraea chinensis', 'species'), ('Spiraea chinensis', 'species')]"
Taraxacum lacistophylloides,species,"[('Taraxacum lacistophylloides', 'species'), ('Taraxacum vexatum', 'Taraxacum lacistophylloides', 'species')]"
Tarchonanthus camphoratus,species,"[('Tarchonanthus littoralis', 'Tarchonanthus camphoratus', 'species'), ('Tarchonanthus camphoratus', 'species')]"
Tetraena,genus,"[('Zygophyllum', 'Tetraena', 'genus'), ('Tetraena', 'genus')]"
Thouinia,genus,"[('Thouinia', 'genus'), ('Humbertia', 'Thouinia', 'genus')]"
Trichomanes pusillum,species,"[('Didymoglossum erosum', 'Trichomanes pusillum', 'species'), ('Didymoglossum pusillum', 'Trichomanes pusillum', 'species'), ('Didymoglossum reptans', 'Trichomanes pusillum', 'species')]"
Triticum monococcum,species,"[('Triticum monococcum', 'species'), ('Sibirotrisetum turcicum', 'Triticum monococcum', 'species')]"
Valeriana pratensis,species,"[('Valeriana pratensis', 'species'), ('Valeriana galeottiana', 'Valeriana pratensis', 'species')]"
Vitis heyneana,species,"[('Vitis heyneana', 'species'), ('Cissus heyneana', 'Vitis heyneana', 'species')]"
