A common name exists for Cyanoderma ambiguum and differs from the provided common name: iNat 'Timália Hrdzavočelá' vs provided 'timália plavoprsá'.
A common name exists for Cyanomitra obscura and differs from the provided common name: iNat 'Nektárovka Olivová' vs provided 'nektárovka šabľozobá'.
A common name exists for Cyclopsitta amabilis and differs from the provided common name: iNat 'Figojed Termití' vs provided 'figojed pôvabný'.
A common name exists for Cyclopsitta melanogenia and differs from the provided common name: iNat 'Figojed Termití' vs provided 'figojed čiernolíci'.
A common name exists for Dicrurus divaricatus and differs from the provided common name: iNat 'Drongo Vidlochvostý' vs provided 'drongo savanový'.
A common name exists for Emberiza citrinella and differs from the provided common name: iNat 'Strnádka Žltá' vs provided 'strnádka obyčajná'.
A common name exists for Empidonax occidentalis and differs from the provided common name: iNat 'Pamuchár Pobrežný' vs provided 'pamuchár kordillersky'.
A common name exists for Eriocnemis sapphiropygia and differs from the provided common name: iNat 'Pančuchárik Zafírový' vs provided 'pančuchárik medenotylový'.
A common name exists for Erythrura regia and differs from the provided common name: iNat 'Amada Červenohlavá' vs provided 'amada kráľovská'.
A common name exists for Estrilda ochrogaster and differs from the provided common name: iNat 'Astrilda Bahenná' vs provided 'astrilda okrovobruchá'.
A common name exists for Eupsittula astec and differs from the provided common name: iNat 'Klinochvost Hnedohrdlý' vs provided 'klinochvost aztécky'.
A common name exists for Eurylaimus harterti and differs from the provided common name: iNat 'Loboš Jávsky' vs provided 'loboš pestrý'.
A common name exists for Falco ruficollis and differs from the provided common name: iNat 'Sokol Červenohlavý' vs provided 'sokol hnedastokrký'.
A common name exists for Falco tinnunculus and differs from the provided common name: iNat 'Sokol Myšiar' vs provided 'sokol myšiar (pustovka)'.
A common name exists for Formicarius moniliger and differs from the provided common name: iNat 'Mravčiarik Čiernohrdlý' vs provided 'mravčiarik mexický'.
A common name exists for Fringilla montifringilla and differs from the provided common name: iNat 'Pinka Severská' vs provided 'pinka severská (ikavec)'.
A common name exists for Fulica caribaea and differs from the provided common name: iNat 'Lyska Popolavá' vs provided 'lyska karibská'.
A common name exists for Furnariinae and differs from the provided common name: iNat 'Íverkárorodé' vs provided 'hrnčiarikorodé'.
A common name exists for Galerida macrorhyncha and differs from the provided common name: iNat 'Pipíška Chochlatá' vs provided 'pipíška atlaská'.
A common name exists for Gallus gallus and differs from the provided common name: iNat 'Kura Červená' vs provided 'kura divá'.
A common name exists for Haemorhous mexicanus and differs from the provided common name: iNat 'Hýl' Domový' vs provided 'červenák domový'.
A common name exists for Hemicircus sordidus and differs from the provided common name: iNat 'Ďatlík Krátkochvostý' vs provided 'ďatlík sivoprsý'.
A common name exists for Herpsilochmus scapularis and differs from the provided common name: iNat 'Batara Hrdzavokrídla' vs provided 'batara tmavoplecá'.
A common name exists for Horornis vulcanius and differs from the provided common name: iNat 'Cetia Olivová' vs provided 'cetia vulkánová'.
A common name exists for Hypsipetes aureus and differs from the provided common name: iNat 'Bylbyl Zelenkavochrbtý' vs provided 'bylbyl zlatobruchý'.
A common name exists for Ixobrychus and differs from the provided common name: iNat 'Bučiak' vs provided 'bučiačik'.
A common name exists for Jynx torquilla and differs from the provided common name: iNat 'Krutihlav Hnedý' vs provided 'krutohlav hnedý'.
A common name exists for Larus heuglini and differs from the provided common name: iNat 'Čajka Tmavá' vs provided 'čajka tundrová'.
A common name exists for Leiothrichidae and differs from the provided common name: iNat 'Alkipovité' vs provided 'meziovité'.
A common name exists for Leptotila battyi and differs from the provided common name: iNat 'Holubec Sivohlavý' vs provided 'holubec močiarny'.
A common name exists for Locustella timorensis and differs from the provided common name: iNat 'Svrčiak Jávsky' vs provided 'svrčiak timorský'.
A common name exists for Lophura erythrophthalma and differs from the provided common name: iNat 'Bažant Bornejský' vs provided 'bažant červenolíci'.
A common name exists for Mareca penelope and differs from the provided common name: iNat 'Kačica Hvizdávka' vs provided 'kačica hvizdárka'.
A common name exists for Megapodius forsteni and differs from the provided common name: iNat 'Tabon Tmavý' vs provided 'tabon Forstenov'.
A common name exists for Megascops vermiculatus and differs from the provided common name: iNat 'Výrček Ropuší' vs provided 'výrček krivkovitý'.
A common name exists for Meiglyptes grammithorax and differs from the provided common name: iNat 'Mravcožlna Jarabá' vs provided 'mravcožlna plavochrbtá'.
A common name exists for Melanerpes carolinus and differs from the provided common name: iNat 'Tesárik Červenotylý' vs provided 'tesárik červenotylový'.
A common name exists for Melopsittacus undulatus and differs from the provided common name: iNat 'Papagájec Vlnkovaný' vs provided 'papagájec vlnkovaný (andulka)'.
A common name exists for Milvus aegyptius and differs from the provided common name: iNat 'Haja Tmavá' vs provided 'haja africká'.
A common name exists for Mirafra cantillans and differs from the provided common name: iNat 'Škovránok Škoricový' vs provided 'škovránok spevavý'.
A common name exists for Muscicapa tyrrhenica and differs from the provided common name: iNat 'Muchár Sivý' vs provided 'muchár stredomorský'.
A common name exists for Myioborus chrysops and differs from the provided common name: iNat 'Horárik Ozdobný' vs provided 'horárik andský'.
A common name exists for Myiozetetes similis and differs from the provided common name: iNat 'Tyran Červenotemenný' vs provided 'postriežkar družný'.
A common name exists for Numida meleagris and differs from the provided common name: iNat 'Perlička Bodkovaná' vs provided 'perlička prilbatá'.
A common name exists for Ocyphaps lophotes and differs from the provided common name: iNat 'Holúbok Chochlatý' vs provided 'blyskavec chochlatý'.
A common name exists for Ortygospiza fuscocrissa and differs from the provided common name: iNat 'Astrilda Zebrovitá' vs provided 'astrilda okuliarnatá'.
A common name exists for Ortygospiza gabonensis and differs from the provided common name: iNat 'Astrilda Zebrovitá' vs provided 'astrilda masková'.
A common name exists for Otididae and differs from the provided common name: iNat 'Dropotvaré' vs provided 'dropovité'.
A common name exists for Pampusana johannae and differs from the provided common name: iNat 'Holubček Sivoprsý' vs provided 'holubček bronzový'.
A common name exists for Pandionidae and differs from the provided common name: iNat 'Kršiak Rybár' vs provided 'kršiakovité'.
A common name exists for Parus bokharensis and differs from the provided common name: iNat 'Sýkorka Veľká' vs provided 'sýkorka turkestanská'.
A common name exists for Passerculus guttatus and differs from the provided common name: iNat 'Strnádlik Trávový' vs provided 'strnádlik krôpkavý'.
A common name exists for Passerculus rostratus and differs from the provided common name: iNat 'Strnádlik Trávový' vs provided 'strnádlik veľkozobý'.
A common name exists for Passeriformes and differs from the provided common name: iNat 'Vrabcotvaré' vs provided 'spevavce'.
A common name exists for Pellorneum nigrocapitatum and differs from the provided common name: iNat 'Dudroš Tmavohlavý' vs provided 'dudroš čiernohlavý'.
A common name exists for Phaeomyias incomta and differs from the provided common name: iNat 'Moskytár Myšací' vs provided 'moskytár krémovobruchý'.
A common name exists for Phalacrocorax atriceps and differs from the provided common name: iNat 'Kormorán Bielobruchý' vs provided 'kormorán modrooký'.
