rank,order_scientific,order_common,family_scientific,family_common,subfamily_scientific,subfamily_common,genus_scientific,genus_common,species_scientific,species_common
order,Struthioniformes,bežce a tinamy,,,,,,,,
family,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,,,,
genus,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,Struthio,pštros,,
species,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,Struthio,pštros,Struthio camelus,pštros dvojprstý
species,Struthioniformes,bežce a tinamy,Struthionidae,pštrosovité,,,Struthio,pštros,Struthio molybdophanes,pštros sivonohý
family,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,,,,
genus,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,,
species,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,Rhea americana,nandu pampový
species,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,Rhea pennata,nandu škvrnitý
species,Struthioniformes,bežce a tinamy,Rheidae,nanduovité,,,Rhea,nandu,Rhea tarapacensis,nandu andský
family,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,,,,,,
subfamily,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,,,,
genus,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,,
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,Dromaius novaehollandiae,emu hnedý
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,Dromaius minor,emu tmavý
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Dromaiinae,emuorodé,Dromaius,emu,Dromaius baudinianus,emu malý
subfamily,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,,,,
genus,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,,
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,Casuarius casuarius,kazuár veľkoprilbý
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,Casuarius bennetti,kazuár muruk
species,Struthioniformes,bežce a tinamy,Casuariidae,kazuárovité,Casuariinae,kazuárorodé,Casuarius,kazuár,Casuarius unappendiculatus,kazuár džungľový
family,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,,,,
genus,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,,
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx owenii,kivi pásikavý
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx haastii,kivi kráľovský
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx australis,kivi južný
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx mantelli,kivi hnedý
species,Struthioniformes,bežce a tinamy,Apterygidae,kiviovité,,,Apteryx,kivi,Apteryx rowi,kivi hodvábny
family,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,,,,,,
subfamily,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,,,,
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Eudromia,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Eudromia,inambu,Eudromia elegans,inambu chochlatý
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Eudromia,inambu,Eudromia formosa,inambu hájový
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Tinamotis,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Tinamotis,inambu,Tinamotis pentlandii,inambu veľký
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Tinamotis,inambu,Tinamotis ingoufi,inambu stepný
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Rhynchotus,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Rhynchotus,inambu,Rhynchotus rufescens,inambu vlnkovaný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Rhynchotus,inambu,Rhynchotus maculicollis,inambu horský
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta taczanowskii,inambu pasienkový
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta ornata,inambu ozdobný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta perdicaria,inambu poľný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta cinerascens,inambu krovinový
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta pentlandii,inambu andský
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothoprocta,inambu,Nothoprocta curvirostris,inambu krivozobý
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Taoniscus,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Taoniscus,inambu,Taoniscus nanus,inambu krpatý
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura boraquira,inambu svetlobruchý
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura minor,inambu malý
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura darwinii,inambu pustatinný
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura maculosa,inambu čiarkový
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Eudromiinae,inambuorodé,Nothura,inambu,Nothura chacoensis,inambu škvrnitý
subfamily,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,,,,
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,Nothocercus julius,tinama pralesná
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,Nothocercus bonapartei,tinama horská
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Nothocercus,tinama,Nothocercus nigrocapillus,tinama kapucňová
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Tinamus,tinama,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Tinamus,tinama,Tinamus tao,tinama sivá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Tinamus,tinama,Tinamus solitarius,tinama samotárska
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Tinamus,tinama,Tinamus osgoodi,tinama čierna
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Tinamus,tinama,Tinamus major,tinama veľká
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Tinamus,tinama,Tinamus guttatus,tinama bielohrdlá
genus,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,,
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus cinereus,tinama popolavá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus berlepschi,tinama sadzová
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus soui,tinama malá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus ptaritepui,tinama bielooká
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus obsoletus,tinama gaštanová
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus undulatus,tinama vlnkovaná
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus transfasciatus,tinama dažďová
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus strigulosus,tinama nížinná
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus duidae,tinama sivonohá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus erythropus,tinama červenonohá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus noctivagus,tinama pásikavá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus atrocapillus,tinama čiapočkatá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus cinnamomeus,tinama húštinová
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus occidentalis,tinama mexická
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus boucardi,tinama tmavoprsá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus kerriae,tinama tmavá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus variegatus,tinama pestrá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus brevirostris,tinama hrdzavá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus bartletti,tinama plavobruchá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus parvirostris,tinama malozobá
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus casiquiare,tinama lesná
species,Struthioniformes,bežce a tinamy,Tinamidae,tinamovité,Tinaminae,tinamorodé,Crypturellus,tinama,Crypturellus tataupa,tinama tataupa
order,Anseriformes,zúbkozobce,,,,,,,,
family,Anseriformes,zúbkozobce,Anhimidae,anhimovité,,,,,,
genus,Anseriformes,zúbkozobce,Anhimidae,anhimovité,,,Anhima,anhima,,
species,Anseriformes,zúbkozobce,Anhimidae,anhimovité,,,Anhima,anhima,Anhima cornuta,anhima rohatá
genus,Anseriformes,zúbkozobce,Anhimidae,anhimovité,,,Chauna,čaja,,
species,Anseriformes,zúbkozobce,Anhimidae,anhimovité,,,Chauna,čaja,Chauna torquata,čaja obojková
species,Anseriformes,zúbkozobce,Anhimidae,anhimovité,,,Chauna,čaja,Chauna chavaria,čaja chochlatá
family,Anseriformes,zúbkozobce,Anseranatidae,husiarkovité,,,,,,
genus,Anseriformes,zúbkozobce,Anseranatidae,husiarkovité,,,Anseranas,husiarka,,
species,Anseriformes,zúbkozobce,Anseranatidae,husiarkovité,,,Anseranas,husiarka,Anseranas semipalmata,husiarka strakatá
family,Anseriformes,zúbkozobce,Anatidae,kačicovité,,,,,,
subfamily,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,,,,
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna viduata,stromárka bielohlavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna autumnalis,stromárka sivokrká
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna guttata,stromárka bodkavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna arborea,stromárka veľká
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna bicolor,stromárka hrdzavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna eytoni,stromárka kosierkavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna arcuata,stromárka sťahovavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Dendrocygna,stromárka,Dendrocygna javanica,stromárka malá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Thalassornis,stromárka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Dendrocygninae,stromárkorodé,Thalassornis,stromárka,Thalassornis leuconotus,stromárka jarabá
subfamily,Anseriformes,zúbkozobce,Anatidae,kačicovité,Stictonettinae,vlnkavkorodé,,,,
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Stictonettinae,vlnkavkorodé,Stictonetta,vlnkavka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Stictonettinae,vlnkavkorodé,Stictonetta,vlnkavka,Stictonetta naevosa,vlnkavka zobatá
subfamily,Anseriformes,zúbkozobce,Anatidae,kačicovité,Plectropterinae,ostrožiarkorodé,,,,
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Plectropterinae,ostrožiarkorodé,Plectropterus,ostrožiarka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Plectropterinae,ostrožiarkorodé,Plectropterus,ostrožiarka,Plectropterus gambensis,ostrožiarka lesklá
subfamily,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,,,,
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Biziura,laločnica,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Biziura,laločnica,Biziura lobata,laločnica potápavá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Nettapus,kačôčka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Nettapus,kačôčka,Nettapus auritus,kačôčka čiapočkatá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Nettapus,kačôčka,Nettapus coromandelianus,kačôčka bielohlavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Nettapus,kačôčka,Nettapus pulchellus,kačôčka lesklá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Heteronetta,zanášavka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Heteronetta,zanášavka,Heteronetta atricapilla,zanášavka čiernohlavá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Nomonyx,potápnica,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Nomonyx,potápnica,Nomonyx dominicus,potápnica malá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Oxyura,potápnica,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Oxyura,potápnica,Oxyura vittata,potápnica argentínska
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Oxyura,potápnica,Oxyura jamaicensis,potápnica bielolíca
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Oxyura,potápnica,Oxyura ferruginea,potápnica hrdzavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Oxyura,potápnica,Oxyura australis,potápnica tmavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Oxyura,potápnica,Oxyura maccoa,potápnica čiernohlavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Oxyura,potápnica,Oxyura leucocephala,potápnica bielohlavá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Malacorhynchus,lopatárka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Malacorhynchus,lopatárka,Malacorhynchus membranaceus,lopatárka zobatá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Coscoroba,koskoroba,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Coscoroba,koskoroba,Coscoroba coscoroba,koskoroba biela
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cereopsis,zemnárka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cereopsis,zemnárka,Cereopsis novaehollandiae,zemnárka krátkozobá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cygnus,labuť,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cygnus,labuť,Cygnus melancoryphus,labuť čiernokrká
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cygnus,labuť,Cygnus atratus,labuť čierna
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cygnus,labuť,Cygnus olor,labuť veľká
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cygnus,labuť,Cygnus cygnus,labuť spevavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cygnus,labuť,Cygnus buccinator,labuť trúbivá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Cygnus,labuť,Cygnus columbianus,labuť malá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Branta,bernikla,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Branta,bernikla,Branta bernicla,bernikla tmavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Branta,bernikla,Branta ruficollis,bernikla červenokrká
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Branta,bernikla,Branta sandvicensis,bernikla vlnkovaná
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Branta,bernikla,Branta canadensis,bernikla veľká
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Branta,bernikla,Branta leucopsis,bernikla bielolíca
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Branta,bernikla,Branta hutchinsii,bernikla tundrová
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser indicus,hus vrchovská
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser canagicus,hus bielohlavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser caerulescens,hus snežná
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser rossii,hus snežnička
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser anser,hus divá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser cygnoides,hus labutia
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser erythropus,hus malá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser albifrons,hus bieločelá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser fabalis,hus siatinná
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser brachyrhynchus,hus krátkozobá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser serrirostris,hus tundrová
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anserinae,husorodé,Anser,hus,Anser middendorffii,hus tajgová
subfamily,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,,,,
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Merganetta,potápačka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Merganetta,potápačka,Merganetta armata,potápačka riavová
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Oressochen,bernaška,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Oressochen,bernaška,Oressochen jubatus,bernaška hrivnatá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Oressochen,bernaška,Oressochen melanopterus,bernaška čiernokrídla
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Chloephaga,bernaška,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Chloephaga,bernaška,Chloephaga picta,bernaška pásikavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Chloephaga,bernaška,Chloephaga hybrida,bernaška žltonohá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Chloephaga,bernaška,Chloephaga poliocephala,bernaška sivohlavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Chloephaga,bernaška,Chloephaga rubidiceps,bernaška červenohlavá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Radjah,kazarka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Radjah,kazarka,Radjah radjah,kazarka radža
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Alopochen,húska,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Alopochen,húska,Alopochen aegyptiaca,húska štíhla
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Alopochen,húska,Alopochen kervazoi,húska réunionská
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Alopochen,húska,Alopochen mauritiana,húska maurícijská
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Tadorna,kazarka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Tadorna,kazarka,Tadorna tadorna,kazarka pestrá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Tadorna,kazarka,Tadorna cana,kazarka sivohlavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Tadorna,kazarka,Tadorna ferruginea,kazarka hrdzavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Tadorna,kazarka,Tadorna tadornoides,kazarka čiernohlavá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Tadorna,kazarka,Tadorna variegata,kazarka rajská
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Tadorna,kazarka,Tadorna cristata,kazarka chochlatá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Clangula,ľadovka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Clangula,ľadovka,Clangula hyemalis,ľadovka dlhochvostá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Histrionicus,kamenárka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Histrionicus,kamenárka,Histrionicus histrionicus,kamenárka strakatá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Camptorhynchus,labradorka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Camptorhynchus,labradorka,Camptorhynchus labradorius,labradorka klenutozobá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Polysticta,kajka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Polysticta,kajka,Polysticta stelleri,kajka malá
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Somateria,kajka,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Somateria,kajka,Somateria fischeri,kajka okuliarnatá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Somateria,kajka,Somateria spectabilis,kajka hrbozobá
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Somateria,kajka,Somateria mollissima,kajka morská
genus,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Melanitta,turpan,,
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Melanitta,turpan,Melanitta perspicillata,turpan okuliarnatý
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Melanitta,turpan,Melanitta fusca,turpan tmavý
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Melanitta,turpan,Melanitta deglandi,turpan nosorohý
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Melanitta,turpan,Melanitta stejnegeri,turpan bielokrídly
species,Anseriformes,zúbkozobce,Anatidae,kačicovité,Anatinae,kačicorodé,Melanitta,turpan,Melanitta nigra,turpan čierny
